,year,movie,url,genre,release_type,revenue_to_date
8352,1986,Trick or Treat,https://www.the-numbers.com/movie/Trick-or-Treat-(1986),Horror,Theatrical,6000000.0
8362,1986,52 Pick-Up,https://www.the-numbers.com/movie/52-Pick-Up,Thriller/Suspense,Theatrical,5319227.0
8368,1986,Hoosiers,https://www.the-numbers.com/movie/Hoosiers,Drama,Theatrical,28607524.0
8374,1986,An American Tail,https://www.the-numbers.com/movie/American-Tail-An,Adventure,Theatrical,48189416.0
8376,1986,Firewalker,https://www.the-numbers.com/movie/Firewalker,Adventure,Theatrical,12090023.0
8380,1986,Star Trek IV: The Voyage Home,https://www.the-numbers.com/movie/Star-Trek-IV-The-Voyage-Home,Adventure,Theatrical,133000000.0
8389,1986,The Mosquito Coast,https://www.the-numbers.com/movie/Mosquito-Coast-The,Drama,Theatrical,14302000.0
8391,1986,Heartbreak Ridge,https://www.the-numbers.com/movie/Heartbreak-Ridge,Action,Theatrical,42724017.0
8395,1986,Crimes of the Heart,https://www.the-numbers.com/movie/Crimes-of-the-Heart,Black Comedy,Theatrical,22905000.0
8396,1986,The Golden Child,https://www.the-numbers.com/movie/Golden-Child-The,Action,Theatrical,79817937.0
8398,1986,Three Amigos,https://www.the-numbers.com/movie/Three-Amigos,Comedy,Theatrical,39246734.0
8404,1986,Little Shop of Horrors,https://www.the-numbers.com/movie/Little-Shop-of-Horrors,Musical,Theatrical,38747385.0
8406,1986,No Mercy,https://www.the-numbers.com/movie/No-Mercy,Thriller/Suspense,Theatrical,12303904.0
8407,1986,Platoon,https://www.the-numbers.com/movie/Platoon,Drama,Theatrical,137978395.0
8409,1986,Brighton Beach Memoirs,https://www.the-numbers.com/movie/Brighton-Beach-Memoirs,Comedy,Theatrical,11957943.0
8410,1986,The Morning After,https://www.the-numbers.com/movie/Morning-After-The,Thriller/Suspense,Theatrical,25147055.0
8418,1986,Wisdom,https://www.the-numbers.com/movie/Wisdom,,Theatrical,5715174.0
8419,1986,Witchboard,https://www.the-numbers.com/movie/Witchboard,Horror,Theatrical,7369373.0
8447,1987,Assassination,https://www.the-numbers.com/movie/Assassination,Action,Theatrical,6115097.0
8452,1987,The Bedroom Window,https://www.the-numbers.com/movie/Bedroom-Window-The,Thriller/Suspense,Theatrical,12640385.0
8453,1987,Critical Condition,https://www.the-numbers.com/movie/Critical-Condition,Comedy,Theatrical,20240502.0
8454,1987,Wanted: Dead or Alive,https://www.the-numbers.com/movie/Wanted-Dead-or-Alive,Action,Theatrical,6454953.0
8463,1987,Outrageous Fortune,https://www.the-numbers.com/movie/Outrageous-Fortune,Comedy,Theatrical,52864741.0
8464,1987,Radio Days,https://www.the-numbers.com/movie/Radio-Days,Comedy,Theatrical,14792779.0
8469,1987,Black Widow,https://www.the-numbers.com/movie/Black-Widow,Thriller/Suspense,Theatrical,25205460.0
8471,1987,From the Hip,https://www.the-numbers.com/movie/From-the-Hip,Comedy,Theatrical,9518342.0
8472,1987,Light of Day,https://www.the-numbers.com/movie/Light-of-Day,Drama,Theatrical,10489617.0
8477,1987,Mannequin,https://www.the-numbers.com/movie/Mannequin,Romantic Comedy,Theatrical,38018000.0
8478,1987,Over the Top,https://www.the-numbers.com/movie/Over-the-Top,Action,Theatrical,16057580.0
8487,1987,A Nightmare On Elm Street 3: Dream Wa…,https://www.the-numbers.com/movie/Nightmare-on-Elm-Street-3-A-Dream-Warriors-(1987),Horror,Theatrical,44793222.0
8488,1987,Some Kind of Wonderful,https://www.the-numbers.com/movie/Some-Kind-of-Wonderful,Romantic Comedy,Theatrical,18553948.0
8494,1987,Hollywood Shuffle,https://www.the-numbers.com/movie/Hollywood-Shuffle,,Theatrical,5228617.0
8497,1987,Angel Heart,https://www.the-numbers.com/movie/Angel-Heart,Horror,Theatrical,17192555.0
8499,1987,Lethal Weapon,https://www.the-numbers.com/movie/Lethal-Weapon,Action,Theatrical,120192350.0
8500,1987,Tin Men,https://www.the-numbers.com/movie/Tin-Men,Comedy,Theatrical,25411386.0
8504,1987,Evil Dead II,https://www.the-numbers.com/movie/Evil-Dead-II,Horror,Theatrical,5927557.0
8506,1987,Raising Arizona,https://www.the-numbers.com/movie/Raising-Arizona,Comedy,Theatrical,22847660.0
8512,1987,Burglar,https://www.the-numbers.com/movie/Burglar,Comedy,Theatrical,16337355.0
8516,1987,Blind Date,https://www.the-numbers.com/movie/Blind-Date-(1987),Romantic Comedy,Theatrical,39511672.0
8527,1987,Police Academy 4: Citizens on Patrol,https://www.the-numbers.com/movie/Police-Academy-4-Citizens-on-Patrol,Comedy,Theatrical,28061343.0
8531,1987,The Secret of My Success,https://www.the-numbers.com/movie/Secret-of-My-Success-The,Comedy,Theatrical,66995000.0
8537,1987,Project X,https://www.the-numbers.com/movie/Project-X,Comedy,Theatrical,18532286.0
8541,1987,Extreme Prejudice,https://www.the-numbers.com/movie/Extreme-Prejudice,Action,Theatrical,11307844.0
8547,1987,Creepshow 2,https://www.the-numbers.com/movie/Creepshow-2,Horror,Theatrical,14000000.0
8549,1987,Mitt liv som hund,https://www.the-numbers.com/movie/Mitt-liv-som-hund,Drama,Theatrical,8345266.0
8553,1987,Gardens of Stone,https://www.the-numbers.com/movie/Gardens-of-Stone,Drama,Theatrical,5262047.0
8554,1987,Hot Pursuit,https://www.the-numbers.com/movie/Hot-Pursuit-(1987),Comedy,Theatrical,5310875.0
8557,1987,The Gate,https://www.the-numbers.com/movie/Gate-The,Horror,Theatrical,13000000.0
8558,1987,Ishtar,https://www.the-numbers.com/movie/Ishtar,Comedy,Theatrical,14375181.0
8560,1987,Beverly Hills Cop II,https://www.the-numbers.com/movie/Beverly-Hills-Cop-II,Comedy,Theatrical,276665036.0
8562,1987,The Chipmunk Adventure,https://www.the-numbers.com/movie/Chipmunk-Adventure-The-(1987),Adventure,Theatrical,6804312.0
8563,1987,Ernest Goes to Camp,https://www.the-numbers.com/movie/Ernest-Goes-to-Camp,Comedy,Theatrical,23509382.0
8569,1987,The Untouchables,https://www.the-numbers.com/movie/Untouchables-The-(1987),Drama,Theatrical,76741271.0
8571,1987,Benji the Hunted,https://www.the-numbers.com/movie/Benji-the-Hunted,Adventure,Theatrical,15212539.0
8573,1987,Harry and the Hendersons,https://www.the-numbers.com/movie/Harry-and-the-Hendersons,Comedy,Theatrical,32560613.0
8575,1987,The Believers,https://www.the-numbers.com/movie/Believers-The,Thriller/Suspense,Theatrical,18753438.0
8578,1987,Predator,https://www.the-numbers.com/movie/Predator,Action,Theatrical,98267558.0
8579,1987,The Witches of Eastwick,https://www.the-numbers.com/movie/Witches-of-Eastwick-The,Black Comedy,Theatrical,63749955.0
8583,1987,Roxanne,https://www.the-numbers.com/movie/Roxanne,Romantic Comedy,Theatrical,39148164.0
8586,1987,Spaceballs,https://www.the-numbers.com/movie/Spaceballs,Comedy,Theatrical,38119483.0
8588,1987,Dragnet,https://www.the-numbers.com/movie/Dragnet,Comedy,Theatrical,57387000.0
