,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
2,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Brazil#tab=box-office,2013/01/18,30,$9,-92%,1,$9,"  $1,949",weekend,5,
0,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/United-Kingdom#tab=box-office,2015/10/16,83,$241, ,1,$241,"  $30,497",weekend,227,
0,https://www.the-numbers.com/movie/Soul-Surfer/Australia#tab=box-office,2021/04/09,-,$91, ,1,$91,"  $280,375",weekend,1,
1,https://www.the-numbers.com/movie/Soul-Surfer/Australia#tab=box-office,2022/02/04,-,$108, ,1,$108,"  $259,757",weekend,44,
2,https://www.the-numbers.com/movie/Soul-Surfer/Australia#tab=box-office,2022/02/11,-,$11,-90%,1,$11,"  $263,813",weekend,45,
3,https://www.the-numbers.com/movie/Soul-Surfer/Australia#tab=box-office,2022/02/25,-,$113, ,1,$113,"  $265,502",weekend,47,
0,https://www.the-numbers.com/movie/Soul-Surfer/Japan#tab=box-office,2012/06/15,13,"$296,660", ,170,"$1,745","  $1,165,126",weekend,2,
1,https://www.the-numbers.com/movie/Soul-Surfer/Japan#tab=box-office,2012/06/22,-,"$31,738",-89%,68,$467,"  $1,562,022",weekend,3,
0,https://www.the-numbers.com/movie/Soul-Surfer/New-Zealand#tab=box-office,2023/05/26,-,$220, ,1,$220,  $220,weekend,1,
0,https://www.the-numbers.com/movie/Soul-Surfer/Spain#tab=box-office,2012/04/27,6,"$300,201", ,110,"$2,729","  $681,881",weekend,2,
1,https://www.the-numbers.com/movie/Soul-Surfer/Spain#tab=box-office,2012/05/04,6,"$177,880",-41%,102,"$1,744","  $1,113,514",weekend,3,
2,https://www.the-numbers.com/movie/Soul-Surfer/Spain#tab=box-office,2012/05/11,8,"$101,079",-43%,101,"$1,001","  $1,231,760",weekend,4,
3,https://www.the-numbers.com/movie/Soul-Surfer/Spain#tab=box-office,2012/05/25,13,"$28,726", ,77,$373,"  $1,402,890",weekend,6,
4,https://www.the-numbers.com/movie/Soul-Surfer/Spain#tab=box-office,2012/06/01,14,"$13,491",-53%,49,$275,"  $1,425,098",weekend,7,
5,https://www.the-numbers.com/movie/Soul-Surfer/Spain#tab=box-office,2012/06/08,13,"$12,208",-10%,49,$249,"  $1,352,004",weekend,8,
6,https://www.the-numbers.com/movie/Soul-Surfer/Spain#tab=box-office,2012/06/15,17,"$8,874",-27%,41,$216,"  $1,363,821",weekend,9,
7,https://www.the-numbers.com/movie/Soul-Surfer/Spain#tab=box-office,2012/07/13,27,$675, ,8,$84,"  $1,394,949",weekend,13,
0,https://www.the-numbers.com/movie/Soul-Surfer/Australia#tab=box-office,2021/04/09,-,$91, ,1,$91,"  $280,375",weekend,1,
1,https://www.the-numbers.com/movie/Soul-Surfer/Australia#tab=box-office,2022/02/04,-,$108, ,1,$108,"  $259,757",weekend,44,
2,https://www.the-numbers.com/movie/Soul-Surfer/Australia#tab=box-office,2022/02/11,-,$11,-90%,1,$11,"  $263,813",weekend,45,
3,https://www.the-numbers.com/movie/Soul-Surfer/Australia#tab=box-office,2022/02/25,-,$113, ,1,$113,"  $265,502",weekend,47,
0,https://www.the-numbers.com/movie/Soul-Surfer/Japan#tab=box-office,2012/06/15,13,"$296,660", ,170,"$1,745","  $1,165,126",weekend,2,
1,https://www.the-numbers.com/movie/Soul-Surfer/Japan#tab=box-office,2012/06/22,-,"$31,738",-89%,68,$467,"  $1,562,022",weekend,3,
0,https://www.the-numbers.com/movie/Soul-Surfer/New-Zealand#tab=box-office,2023/05/26,-,$220, ,1,$220,  $220,weekend,1,
0,https://www.the-numbers.com/movie/Soul-Surfer/Spain#tab=box-office,2012/04/27,6,"$300,201", ,110,"$2,729","  $681,881",weekend,2,
